State House District,Winning Party,Incumbent Party,Democrat,Republican,Other
86,R,R,"Tim Barnsback: 12,766","Hugh Blackwell: 21,226(I)",
87,R,O,No candidate,Destin Hall,
88,D,R,"Mary Belk: 21,754","Rob Bryan: 21,286(I)",
89,R,R,No candidate,Mitchell Setzer(I),
90,R,R,"Vera Smith Reynolds: 8,641","Sarah Stevens: 23,678(I)",
91,R,R,"Eugene Russell: 12,430","Kyle Hall: 24,639(I)",
92,D,O,"Chaz Beasley: 22,941","Beth Danae Caulfield: 19,246",
93,R,R,"Sue Counts: 19,433","Jonathan Jordan: 21,910(I)",
94,R,R,"Michael T. Lentz: 8,372","Jeffrey Elmore: 24,467(I)",
95,R,R,No candidate,John Fraley(I),
96,R,R,No candidate,Jay Adams(I),
97,R,R,No candidate,Jason Saine(I),
98,R,R,No candidate,"John R. Bradford III: 25,428(I)","Jane Campbell: 19,597 (Unaffiliated)"
99,D,D,Rodney Moore(I),No candidate,
100,D,O,John Autry,No candidate,
101,D,D,"Beverly Earle: 27,476(I)","Justin Dunn: 8,691",
102,D,D,Becky Carney(I),No candidate,
103,R,R,"Rochelle Rivas: 16,922","William Brawley: 21,702(I)",
104,R,O,"Peter Noris: 19,952","Andy Dulin: 24,700",
105,R,R,"Connie Green-Johnson: 17,689","Scott Stone: 21,853(I)",
106,D,D,Carla Cunningham(I),No candidate,
107,D,D,"Kelly Alexander, Jr.(I)",No candidate,
108,R,R,No candidate,John Torbett(I),
109,R,R,"Susan Maxon: 13,755","Dana Bumgardner: 21,687(I)",
110,R,R,No candidate,Kelly Hastings(I),
111,R,R,No candidate,Timothy K. Moore(I),
112,R,R,No candidate,"David Rogers: 22,938(I)","Ben Edwards: 9,388 (Unaffiliated)"
113,R,O,"Maureen Mahan Copelof: 16,726","Cody Henson: 26,848",
114,D,D,Susan Fisher(I),No candidate,
115,D,D,"John Ager: 25,257(I)","Frank Moretz: 20,183",
116,D,D,Brian Turner(I),No candidate,
117,R,R,No candidate,Charles McGrady(I),
118,R,R,"Rhonda Cole Schandevel: 17,549","Michele Presnell: 21,754(I)",
119,R,D,"Joe Sam Queen: 17,480(I)","Mike Clampitt: 17,757",
120,R,O,"Randy Hogsed: 11,282","Kevin Corbin: 29,047",
